"Name","Source","ReleaseDate","Playtime","IsInstalled"
"Aerial_Knight's Never Yield","Xbox","19/05/2021","1860","False"
"Cartoon Strike","Steam",,"4620","False"
"State of Decay 2: Juggernaut Edition","Xbox","22/05/2018","2520","False"
"Call of Duty: Modern Warfare","Xbox","25/10/2019","131460","False"
"Hello Guest: Hello Neighbor 2 pre-alpha","Xbox","22/12/2020","0","False"
"Portal","Steam","10/10/2007","15420","False"
"Forza Street","Xbox","8/05/2018","26220","False"
"Drunken Wrestlers 2","Steam","1/04/2019","18780","False"
"Rogue Legacy","Epic","27/06/2013","0","False"
"The Matrix Awakens: An Unreal Engine 5 Experience","Xbox","6/12/2021","0","False"
"Fishing Planet","Steam","11/08/2015","2340","False"
"VALORANT","Epic","2/06/2020","6407","False"
"OVR Advanced Settings","Steam",,"23700","False"
"Geneforge 1: Mutagen","Epic","24/02/2021","0","False"
"ARK: Survival Evolved","Epic","27/08/2017","0","False"
"Armello","Xbox","30/08/2016","3120","False"
"CS:GO Player Profiles: Counter-Strike: A Brief History","Steam",,"0","False"
"Alien: Isolation","Epic","6/10/2014","0","False"
"We Happy Few","Xbox","10/08/2018","420","False"
"New Frontier","Steam","27/12/2019","3300","False"
"KARLSON","itch.io","17/01/2020","0","True"
"Yakuza 0","Xbox","26/02/2020","1200","False"
"Totally Accurate Battle Simulator","Xbox","20/12/2019","10980","False"
"Chair Simulator","Steam","14/05/2021","900","True"
"Battlefield V Definitive Edition","Origin","22/10/2020","46186","False"
"Minecraft: Xbox 360 Edition","Xbox","4/06/2013","0","False"
"Tabletopia","Steam","30/11/2016","1380","True"
"Rocket League","Epic","7/07/2015","4057","False"
"Portal Stories: VR","Steam","16/05/2016","480","False"
"UNO","Xbox","16/08/2016","3120","False"
"Pine","Epic","10/10/2019","365","False"
"Wolfenstein: The New Order","Xbox","20/05/2014","0","False"
"Guns'n'Stories: Preface VR","Steam","1/10/2017","0","False"
"Runbow","Epic","27/08/2015","0","False"
"Yooka-Laylee","Epic","11/04/2017","1699","False"
"Destiny 2","Epic","31/08/2017","0","False"
"SpongeBob: Truth-Sq.","Xbox","30/10/2021","0","False"
"Krunker","Steam","20/05/2018","60","False"
"Propagation VR","Steam","25/09/2020","0","False"
"Verdun","Epic","28/04/2015","168","False"
"Aragami: Shadow Edition","Xbox","5/06/2018","5400","False"
"DC League of Super-Pets: The Adventures of Krypto and Ace","Xbox","15/07/2022","180","False"
"Torque Drift","Steam","24/03/2020","4860","False"
"Tom Clancy’s Ghost Recon Wildlands - Standard Edition","Xbox","7/03/2017","43980","False"
"Gloomhaven","Epic","17/07/2019","0","False"
"Into the Pit","Xbox","19/10/2021","120","False"
"Battlefield: Bad Company","Xbox","18/02/2010","0","False"
"Fallout Shelter","Xbox","7/02/2017","0","False"
"Surgeon Simulator VR: Meet The Medic","Steam","5/04/2016","120","False"
"Embr","Xbox","23/09/2021","1260","False"
"Virtual Debating Chamber","Steam","25/06/2019","0","False"
"Destiny 2","Xbox","12/10/2021","0","False"
"Ghostrunner Demo","Xbox","18/02/2021","0","False"
"Left on Read","Steam","19/05/2020","240","False"
"Star Wars Battlefront II","Xbox","23/04/2018","0","False"
"Gorilla Soccer","Steam","13/08/2022","0","False"
"Injustice 2","Xbox","16/05/2017","147900","False"
"Fortnite","Epic","25/07/2017","572922","False"
"Antstream Arcade","Epic","1/01/2001","0","False"
"Hello Guest: Hello Neighbor 2 pre-alpha","Steam","13/06/2020","0","False"
"Windbound","Epic","21/08/2020","0","False"
"Conker: Live and Reloaded","Xbox","13/04/2018","0","False"
"Brothers - A Tale of Two Sons","Epic","7/08/2013","0","False"
"Automachef","Epic","22/07/2019","598","False"
"Candy Crush Soda Saga","Xbox","12/09/2015","0","False"
"Minecraft: Xbox 360 Edition","Xbox","9/05/2012","0","False"
"LEGO Batman 3: Beyond Gotham","Steam","11/11/2014","540","True"
"Remnant: From the Ashes","Epic","20/08/2019","545","False"
"Genshin Impact","Epic","28/09/2020","0","False"
"Sludge Life","Epic","28/05/2020","0","False"
"GreedFall","Xbox","10/09/2019","540","False"
"Bloons Adventure Time TD","Steam","30/08/2018","7560","False"
"Sniper Elite 4","Xbox","14/02/2017","9900","False"
"FIFA 20 Demo","Xbox","10/09/2019","0","False"
"while True: learn()","Epic",,"956","False"
"FPV.SkyDive","Steam",,"600","False"
"Forza Horizon 4 Demo","Xbox","12/09/2018","0","False"
"Jotun Valhalla Edition","Epic","8/09/2016","0","False"
"EA SPORTS FIFA 17","Xbox","27/09/2016","43320","False"
"Totally Accurate Battlegrounds","Steam","5/06/2018","50880","False"
"BioShock Remastered","Epic","18/10/2011","1743","False"
"Rogue Company","Xbox","30/09/2020","18060","False"
"DOOM 3","Xbox","26/07/2019","1440","False"
"LEGO Marvel Super Heroes 2","Xbox","14/11/2017","117120","False"
"Iratus","Epic","23/04/2020","0","False"
"Fortnite","Xbox","25/07/2017","115980","False"
"Forza Horizon 3","Xbox","30/08/2016","448800","False"
"Desert Bus VR","Steam","27/11/2017","240","False"
"Truck Racing Championship","Xbox","18/07/2019","5220","False"
"Slime Rancher","Xbox","1/08/2017","3240","False"
"The Lab","Steam","5/04/2016","660","False"
"Portal 2","Steam","19/04/2011","39420","False"
"REVISITOR","Steam","19/11/2021","0","False"
"The Evil Within","Xbox","14/10/2014","0","False"
"PC Building Simulator 2 Beta","Epic",,"2991","False"
"Bridge Constructor Portal","Xbox","18/10/2018","3060","False"
"LEGO Batman: The Videogame","Steam","18/04/2008","44160","True"
"Spellbreak","Steam","3/09/2020","2040","False"
"Need for Speed Heat ","Steam","8/11/2019","1740","False"
"King's Quest","Xbox","29/07/2015","0","False"
"OpenVR Benchmark","Steam",,"0","False"
"POLYGON","Steam","6/03/2020","3480","False"
"Batman: Arkham Knight","Xbox","23/06/2015","0","False"
"Rain on Your Parade","Xbox","15/04/2021","240","False"
"Age of Empires III: Definitive Edition","Xbox","15/10/2020","3900","False"
"Engine Evolution","Steam",,"0","False"
"Fall Guys","Epic","30/11/2021","0","False"
"Myst","Xbox","26/08/2021","5940","False"
"Atomicrops","Xbox","28/05/2020","240","False"
"Hello Neighbor Alpha 1","Steam",,"360","False"
"Guild of Dungeoneering","Epic","14/07/2015","0","False"
"Monster Legends","Xbox","15/04/2019","0","False"
"Google Earth VR","Steam",,"1320","False"
"Need for Speed Payback","Steam","10/11/2017","16860","False"
"Pixel Strike 3D","Steam","29/05/2020","300","False"
"ARK: Survival Evolved","Xbox","19/12/2017","4020","False"
"Bugsnax","Xbox","28/04/2022","480","False"
"Ghostbusters The Video Game Remastered","Epic","3/10/2019","22524","False"
"A Game Of Thrones: The Board Game Digital Edition","Epic","6/10/2020","0","False"
"Deep Rock Galactic","Xbox","13/05/2020","840","False"
"Waltz of the Wizard (Legacy demo)","Steam","31/05/2016","1200","False"
"Borderlands 3","Xbox","13/09/2019","3000","False"
"Warface: Breakout","Xbox","26/05/2020","180","False"
"Dreamscaper: Prologue","Steam",,"540","False"
"I Am Fish","Xbox","16/09/2021","360","False"
"Build Bridges - Engineer and Constructor","Xbox","17/03/2020","0","False"
"Battlefield 2042 Xbox One","Xbox","19/11/2021","7920","False"
"Real Drift Simulator 3D","Xbox","7/08/2015","0","False"
"Mothergunship","Epic","17/07/2018","0","False"
"Totally Reliable Delivery Service","Xbox","1/04/2020","1320","False"
"Halo 4","Xbox","6/11/2012","0","False"
"NBA 2K22 for Xbox One","Xbox","10/09/2021","1560","False"
"Red Eclipse","Steam","21/12/2019","120","False"
"Vicious Attack Llama Apocalypse","Xbox","16/03/2018","960","False"
"Brothers - A Tale of Two Sons","Steam","7/08/2013","960","False"
"Bitburner","Steam","10/12/2021","0","False"
"死寂（DeathlyStillness）","Steam","4/09/2021","0","False"
"Rec Room","Steam","1/06/2016","48540","False"
"Team Fortress 2","Steam","9/10/2007","7680","False"
"Marbles on Stream","Steam","28/03/2018","2760","False"
"VRchaeology: Prologue","Steam","1/12/2016","0","False"
"Yoku's Island Express","Epic","29/05/2018","0","False"
"Gears 5","Xbox","10/09/2019","39960","False"
"DEEEER Simulator: Your Average Everyday Deer Game","Xbox","23/11/2021","1080","False"
".io Game Hub","Xbox","8/01/2018","0","False"
"World of Tanks","Xbox","28/07/2015","1800","False"
"Lake","Xbox","1/09/2021","240","False"
"Samurai Shodown II","Xbox","10/09/2008","0","False"
"Dangerous Golf","Xbox","3/06/2016","1500","False"
"Fishing Planet","Xbox","10/07/2019","4200","False"
"Master of Magic Classic","GOG","1/09/1994","0","False"
"NBA 2K21","Xbox","4/09/2020","3120","False"
"Madalin Stunt Cars","Xbox","10/04/2018","0","False"
"XCOM 2","Epic","4/02/2016","0","False"
"Saints Row: Gat Out of Hell","Xbox","20/01/2015","0","False"
"Human Fall Flat","Xbox","12/05/2017","31320","False"
"Geometry Dash","Steam","12/08/2013","32340","True"
"Forza Motorsport 2","Xbox","1/01/2008","0","False"
"MotoGP 08","Xbox","28/10/2008","0","False"
"Insurmountable","Epic","29/04/2021","836","False"
"Super Mecha Champions","Steam","25/03/2021","0","False"
"Trackmania","Epic","14/05/2004","6326","False"
"The Escapists","Epic","13/02/2015","0","False"
"Visage","Xbox","30/10/2020","0","False"
"Nioh: The Complete Edition","Epic","5/02/2021","1997","False"
"PowerWash Simulator","Xbox","14/07/2022","52980","False"
"Core","Epic","31/12/1986","25761","False"
"LEGO Star Wars III","Xbox","17/01/2012","0","False"
"Rubber Bandits","Xbox","2/12/2021","3060","False"
"INSIDE","Xbox","29/06/2016","360","False"
"Skate 3","Xbox","23/09/2014","0","False"
"Rover Mechanic Simulator: Training Day","Steam",,"2220","False"
"Control","Epic","27/08/2019","0","False"
"Street Power Soccer","Xbox","13/07/2020","2640","False"
"RAGE 2","Xbox","14/05/2019","10920","False"
"Yakuza 6: The Song of Life","Xbox","25/03/2021","3240","False"
"CS:GO Player Profiles: coldzera – SK Gaming","Steam",,"0","False"
"Asphalt 9: Legends","Xbox","18/07/2018","2880","False"
"Counter-Strike Nexon: Studio","Steam","7/10/2014","2040","False"
"TerraGenesis - Space Settlers","Xbox","31/07/2018","0","False"
"Battlefield 2042 Xbox Series X|S","Xbox","1/06/2021","1800","False"
"Trove","Steam","5/07/2015","420","False"
"Forza Horizon 5","Xbox","9/11/2021","1167540","False"
"Playcraft","Steam","23/10/2019","13860","False"
"CarX Drift Racing Online","Xbox","9/09/2020","508080","False"
"Yooka-Laylee and the Impossible Lair","Epic","7/10/2019","0","False"
"Subnautica: Below Zero","Xbox","14/05/2021","4560","False"
"Yu-Gi-Oh!  Master Duel","Steam","18/01/2022","4860","False"
"Need for Speed Heat","Xbox","8/11/2019","57960","False"
"Submerged Hidden Depths","Epic","3/12/2020","0","False"
"ARK: Survival Evolved","Steam","27/08/2017","0","False"
"Spider-Man: Far From Home Virtual Reality","Steam","24/06/2019","2940","False"
"NINJA GAIDEN Σ","Xbox","10/06/2021","780","False"
"CS:GO Player Profiles: Guardian - Na'Vi","Steam",,"0","False"
"MONOPOLY DEAL","Xbox","18/11/2014","0","False"
"Drill Deal: Borehole Alpha","Steam",,"1320","False"
"Coin Flipping Simulator for Probability and Statistics","Steam",,"1320","False"
"Dirty Harry's Thunder Drive","Steam","18/02/2020","3180","False"
"HITMAN 2","Steam","13/11/2018","1920","False"
"Floppy Knights","Xbox","24/05/2022","960","False"
"Red Dead Redemption 2","Xbox","26/10/2018","114060","False"
"Loop Hero","Epic","4/03/2021","0","False"
"Idle Racing GO: Car Clicker Tycoon","Steam",,"54180","False"
"Train Station Renovation - First Job","Steam","21/04/2020","6120","False"
"Sheltered","Epic","23/04/2015","1802","False"
"Descenders","Xbox","7/05/2019","10260","False"
"Crackdown","Xbox","1/12/2009","0","False"
"Unsouled","Xbox","28/04/2022","1020","False"
"VRChat","Steam","1/02/2017","81180","False"
"AdVenture Capitalist","Steam","30/05/2014","40440","False"
"Mafia","Steam","28/08/2002","1560","True"
"CS:GO Player Profiles: Maikelele - FaZe","Steam",,"0","False"
"Pancake Sailor","Steam","1/04/2020","180","False"
"Rocket League","Xbox","17/02/2016","1311060","False"
"CS:GO Player Profiles: FalleN - Luminosity","Steam",,"0","False"
"Desktop+","Steam",,"29460","False"
"Boiling Steel: Preface","Steam","9/01/2020","0","False"
"Immortal Redneck","GOG","25/04/2017","0","False"
"STAR WARS Battlefront II","Origin","5/12/2019","39630","False"
"Goat Simulator","Xbox","17/04/2015","12000","False"
"Shatterline","Steam","9/02/2023","900","False"
"The Touryst","Xbox","30/07/2020","1440","False"
"Terraforming Mars","Epic","17/10/2018","0","False"
"The Evil Within 2","Xbox","13/10/2017","1020","False"
"Insurgency: Sandstorm","Epic","12/12/2018","4789","False"
"Undertale","Xbox","4/07/2019","0","True"
"ARK: Survival Of The Fittest","Steam","15/03/2016","0","False"
"Warframe","Steam","25/03/2013","9060","False"
"Crackdown 3: Campaign","Xbox","11/09/2018","4920","False"
"Worms Rumble","Xbox","23/06/2021","300","False"
"Highway Madness","Steam","1/02/2018","0","False"
"Little Nightmares","Xbox","28/04/2017","660","False"
"Stubbs the Zombie in Rebel Without a Pulse","Epic","18/10/2005","0","False"
"HITMAN 3","Xbox","27/08/2020","34920","False"
"Forza Motorsport 5","Xbox","22/11/2013","24660","False"
"The Cycle: Frontier","Steam","12/09/2019","0","False"
"Alien: Isolation - Last Survivor","Epic","14/10/2014","0","False"
"Batman: Arkham City GOTY","Steam","29/05/2012","31500","False"
"PickCrafter","Steam","14/12/2017","27720","False"
"Daggerfall Unity - GOG Cut","GOG",,"0","False"
"Idle Heist","Steam","8/06/2018","2280","False"
"VirtualCast","Steam","13/04/2018","0","False"
"Shadow Warrior 2","Xbox","19/05/2017","300","False"
"Expansion for Explorer","Xbox","29/10/2021","0","False"
"NHL 94 REWIND","Xbox","4/11/2021","120","False"
"Galactic Civilizations III (Test branch)","Epic",,"0","False"
"Forza Horizon 4","Xbox","16/01/2018","496200","False"
"Evil Genius 2: World Domination","Xbox","30/11/2021","50640","False"
"Vigor","Xbox","19/08/2019","4980","False"
"Hello Neighbor 2","Xbox","6/12/2022","0","False"
"Minecraft Preview for Windows","Xbox","9/02/2022","0","True"
"Besiege Console (Game Preview)","Xbox","31/12/2799","180","False"
"Gravitas","Steam","23/08/2019","4080","False"
"Prison Architect","Epic",,"0","False"
"Minecraft Dungeons","Xbox","26/05/2020","96180","False"
"Shop Titans","Epic","18/06/2019","0","False"
"Mr. Prepper: Prologue","Steam",,"240","False"
"Never Alone (Kisima Ingitchuna)","Epic","18/11/2014","0","False"
"Hood Outlaws and Legends","Epic","7/05/2021","0","False"
"DOOM Eternal (BATTLEMODE)","Xbox","20/03/2020","0","False"
"Swarm Simulator: Evolution","Steam","25/02/2019","480","False"
"DOOM 64","Epic","31/03/1997","0","False"
"High On Life","Xbox","13/12/2022","0","False"
"Battlefield V","Xbox","20/11/2018","1440","False"
"CS:GO Player Profiles: Fer - SK Gaming","Steam",,"0","False"
"Band of Bugs","Xbox","20/06/2007","0","False"
"Toribash","Steam","1/03/2006","1680","False"
"Crackdown 3: Wrecking Zone","Xbox","28/08/2018","180","False"
"Destroy All Humans! Demo","Xbox","20/07/2020","0","False"
"Train Sim World 2020","Xbox","9/03/2018","1260","False"
"Lawn Mowing Simulator","Epic","10/08/2021","0","False"
"Paladins","Epic","2/05/2017","21395","False"
"Super Meat Boy","Xbox","20/10/2010","0","False"
"Spellbreak","Xbox","15/12/2020","3900","False"
"STEEP","Xbox","2/12/2016","130680","False"
"Grounded","Xbox","27/09/2022","101940","False"
"F1 2021","Xbox","16/07/2021","41760","False"
"CS:GO Player Profiles","Steam",,"0","False"
"The Raven Remastered","Xbox","13/03/2018","0","False"
"PRO DRIFT RELOADED","Steam","11/10/2017","60","False"
"CS:GO Player Profiles: Tarik - Counter Logic Gaming","Steam",,"0","False"
"RESIDENT EVIL 7 biohazard","Xbox","24/01/2017","480","False"
"The Outer Worlds","Xbox","25/10/2019","4080","False"
"Insanely Twisted Shadow Planet","Xbox","3/08/2011","0","False"
"Clicker Heroes","Steam","1/07/2014","15600","False"
"Ylands","Steam","6/12/2017","1620","False"
"Portal Stories: Mel","Steam","25/07/2015","0","False"
"Front Lines","Steam",,"300","False"
"Aven Colony","Epic","25/07/2017","854","False"
"Adventure Climb VR","Steam",,"600","False"
"PAC-MAN MUSEUM+","Xbox","27/05/2022","0","False"
"LEGO Marvel's Avengers","Xbox","26/01/2016","0","False"
"Forager","Xbox","16/07/2020","600","False"
"Need for Speed Payback Deluxe Edition","Origin","7/11/2017","16862","False"
"Glorious Noon","Steam","1/11/2017","0","False"
"Cyber Hunter","Steam","17/05/2018","5400","False"
"NEED FOR SPEED MOST WANTED","Xbox","29/01/2013","0","False"
"Ryse: Son of Rome","Xbox","22/11/2013","0","False"
"Batman: Arkham Asylum GOTY Edition","Steam","26/03/2010","34680","False"
"Freddy Fazbear's Pizzeria Simulator","Steam","4/12/2017","420","False"
"Overcooked! 2","Xbox","7/08/2018","13140","False"
"Destroy All Humans!","Xbox","28/07/2020","2520","False"
"Space Jam: A New Legacy - The Game","Xbox","15/07/2021","540","False"
"Heroes & Generals WWII","Epic","24/09/2020","2952","False"
"Battlefield 4 Premium Edition","Origin","21/10/2014","56593","False"
"Muck","Steam","4/06/2021","420","False"
"Aliens: Fireteam Elite","Xbox","24/08/2021","3180","False"
"CS:GO Player Profiles: karrigan - Astralis","Steam",,"0","False"
"Star Wars: Droid Repair Bay","Steam","6/12/2017","0","False"
"Cell to Singularity - Evolution Never Ends","Steam","12/12/2018","62100","False"
"FINAL FANTASY X/X-2 HD Remaster","Xbox","16/04/2019","840","False"
"SkateBIRD","Xbox","16/09/2021","660","False"
"Minecraft Preview","Xbox","26/05/2022","0","False"
"Lonely Mountains: Downhill","Xbox","23/10/2019","1380","False"
"Halo: The Master Chief Collection","Xbox","12/11/2019","10560","False"
"Brick Rigs","Steam","7/11/2016","62640","False"
"HOME","Steam",,"1380","False"
"DOOM II (Classic)","Xbox","26/07/2019","480","False"
"Redout: Enhanced Edition","Epic","2/09/2016","0","False"
"MotoGP15","Xbox","9/07/2015","0","False"
"FIFA 15","Xbox","23/09/2014","0","False"
"Skyforge","Xbox","10/11/2017","3420","False"
"Mortal Kombat 11","Xbox","23/04/2019","51600","False"
"Need for Speed","Xbox","3/11/2015","0","False"
"Gods Will Fall","Epic","28/01/2021","0","False"
"SuchArt: Creative Space","Steam",,"37020","False"
"Music Maker Steam Edition","Steam",,"600","True"
"Learn to Fly 3","Steam","12/05/2017","5100","False"
"Breathedge","Xbox","6/04/2021","6360","False"
"MotoGP20","Xbox","23/04/2020","1800","False"
"Tannenberg","Epic","13/02/2019","0","False"
"Aperture Hand Lab","Steam","25/06/2019","420","False"
"PREY","Epic","10/06/2018","0","False"
"Midnight Fight Express","Xbox","23/08/2022","540","False"
"Call of Juarez Gunslinger","Steam","21/05/2013","2340","False"
"Unpacking","Xbox","2/11/2021","11520","False"
"Griptape Backbone","Steam","5/05/2017","120","False"
"MX vs. ATV Alive","Xbox","29/11/2011","0","False"
"Assassin's Creed II","Xbox","28/09/2010","0","False"
"HOT WHEELS UNLEASHED - Windows Edition","Xbox","14/07/2022","58560","False"
"100 hidden frogs","Steam","15/11/2021","960","False"
"Cities Skylines","Epic","10/03/2015","0","False"
"Sniper 3D Assassin: Shoot to Kill","Steam","19/09/2018","1920","False"
"Scavengers","Steam","1/05/2021","660","False"
"Crab Game","Steam","29/10/2021","0","False"
"BATTALION: Legacy","Steam","23/05/2019","360","False"
"Aperture Desk Job","Steam","1/03/2022","360","False"
"BattleBit Remastered Playtest","Steam","31/12/2022","7020","True"
"Kerbal Space Program","Steam","27/04/2015","17580","False"
"Ultimate Epic Battle Simulator","Steam","12/04/2017","19860","False"
"World War Z","Xbox","16/04/2019","2040","False"
"Cities: Skylines  Edition","Xbox","19/05/2017","2400","False"
"Hired Ops","Steam","21/10/2016","1140","False"
