"Name","Source","ReleaseDate","Playtime","IsInstalled"
"TrackMania Nations Forever","Steam","3/03/2008","92040","True"
"Thinking with Time Machine","Steam","18/04/2014","720","False"
"Dead by Daylight","Epic","14/06/2016","2455","False"
"Overstep","Steam","22/11/2019","2280","False"
"Island Saver","Steam","13/05/2020","10620","False"
"Windjammers 2","Xbox","20/01/2022","2220","False"
"Black Desert","Steam","14/07/2015","0","False"
"Minecraft: Xbox One Edition","Xbox","5/09/2014","69300","False"
"RISK: Global Domination","Steam","31/12/2016","1380","False"
"PC Building Simulator","Epic","29/01/2019","137483","False"
"Microsoft Solitaire Collection","Xbox","28/07/2012","5640","False"
"Microsoft Flight Simulator","Xbox","18/08/2020","58800","False"
"Doodle God: Crime City Demo","Xbox","20/07/2020","0","False"
"Not For Broadcast: Prologue","Steam",,"780","False"
"Football Manager 2022 Xbox Edition","Xbox","8/11/2021","120","False"
"Watch Dogs: Legion","Epic","29/10/2020","19455","False"
"Wolfenstein II: The New Colossus","Xbox","27/10/2017","1860","False"
"UFC 4","Xbox","14/08/2020","4020","False"
"Capcom Arcade Stadium","Steam","17/02/2021","0","False"
"Shattered Lights","Steam","11/07/2019","0","False"
"Hellblade: Senua's Sacrifice","Xbox","11/04/2018","300","False"
"CS:GO Player Profiles: Dupreeh - Astralis","Steam",,"0","False"
"Paradigm","Epic","5/04/2017","0","False"
"Battlefield 2042 Open Beta Xbox One","Xbox","5/10/2021","0","False"
"Farming Simulator 22","Xbox","22/11/2021","1320","False"
"Neon Abyss","Epic","13/07/2020","1012","False"
"In Sound Mind","Epic","28/09/2021","0","False"
"War Thunder","Steam","28/01/2013","11280","False"
"The Vanishing of Ethan Carter","Epic","25/09/2014","0","False"
"Mirror's Edge Catalyst","Xbox","7/06/2016","0","False"
"Super Animal Royale","Xbox","26/08/2021","1440","False"
"Pixel Studio - best pixel art editor","Steam",,"12900","False"
"Battlefield 1943","Xbox","14/06/2010","0","False"
"Banana Shooter","Steam",,"0","False"
"Cook, Serve, Delicious! 3?!","Epic","13/10/2020","0","False"
"Halo Infinite","Xbox","15/11/2021","18900","False"
"Carrion","Xbox","23/07/2020","17400","False"
"Peggle 2","Xbox","9/12/2013","0","False"
"FOR HONOR Standard Edition","Xbox","14/02/2017","6840","False"
"Mighty Goose","Xbox","5/06/2021","840","True"
"Need for Speed Heat Deluxe Edition","Origin","8/11/2019","1765","False"
"Among the Sleep - Enhanced Edition","Epic","2/11/2017","0","False"
"Forza Horizon","Xbox","23/10/2012","0","False"
"Minecraft Launcher","Xbox","2/11/2021","0","True"
"Quantum Break","Xbox","5/04/2016","2940","False"
"Bloons TD 6","Steam","14/06/2018","45840","False"
"Sniper Elite 5","Xbox","26/05/2022","11640","False"
"Warframe","Xbox","2/09/2014","33120","False"
"Generation Zero","Xbox","26/03/2019","1380","False"
"Totally Reliable Delivery Service Beta","Steam",,"32160","False"
"Craftopia","Xbox","5/07/2021","960","False"
"Age of Empires III: Definitive Edition","Steam","15/10/2020","3720","False"
"BioShock Infinite: Complete Edition","Epic","4/11/2014","0","False"
"Call of Duty: Vanguard - Xbox Series X|S","Xbox","19/08/2021","239280","False"
"Peggle","Xbox","11/03/2009","0","False"
"Apex Legends","Steam","4/02/2019","313140","False"
"Hello Neighbor 2 Alpha 1.5","Steam",,"480","False"
"The Escapists 2","Xbox","22/08/2017","1860","False"
"MultiVersus","Xbox","26/07/2022","11040","False"
"ShareX","Steam",,"6600","False"
"Duck Simulator 2","Steam","22/11/2021","1320","True"
"The Gunk","Xbox","16/12/2021","600","False"
"FIFA 22 Xbox One","Xbox","1/10/2021","56580","False"
"Fallout: New Vegas","Xbox","19/04/2011","0","False"
"Mandagon","Steam","3/08/2016","0","True"
"Island Saver","Xbox","13/05/2020","20040","False"
"FrostRunner","Steam","1/01/2019","360","False"
"Roblox","Xbox","21/01/2016","0","True"
"Tom Clancy's The Division 2","Epic","15/03/2019","11659","False"
"CrossfireX","Xbox","10/02/2022","31440","False"
"The Elder Scrolls V: Skyrim Special Edition","Xbox","28/10/2016","4740","False"
"Rogue Company","Steam","30/09/2020","0","False"
"Gang Beasts","Xbox","27/03/2019","14880","False"
"Joy Ride Turbo","Xbox","23/05/2012","0","False"
"Tharsis","Epic","12/01/2016","0","False"
"SUPERHOT: MIND CONTROL DELETE","Xbox","16/07/2020","14280","False"
"CS:GO Player Profiles:  TaZ - Virtus.Pro","Steam",,"0","False"
"ABZU","Epic","2/08/2016","2404","False"
"Aim Lab","Steam","1/06/2018","1920","False"
"Virus Plague: Pandemic Wars","Xbox","2/03/2020","0","False"
"Canvas The Gallery","Steam","16/02/2017","21720","False"
"EVE Online","Steam","6/05/2003","12660","False"
"Rocket Soccer Derby Free","Xbox","20/05/2020","0","False"
"GRID","Xbox","11/10/2019","780","False"
"WWE 2K15","Xbox","18/11/2014","0","False"
"Lego Batman 'The Batmersive Experience'","Steam",,"0","False"
